date,firm_id,E,sigma_E,D,r,V,sigma_V,DD,PD_raw,PD_smoothed,success
2020-07-24,F,20462.4,0.409,139485.0,0.0129,158148.32686017864,0.053144861464366054,2.4315580669968297,0.004953390620416321,0.05410674215199985,True
2020-07-27,F,20619.2,0.3812,139485.0,0.0129,158310.86852848617,0.04976591932197731,2.6148307276851277,0.002732109613006751,0.04896927742772692,True
2020-07-28,F,20854.4,0.3819,139485.0,0.0129,158545.93913151044,0.0503523237983885,2.609935840603009,0.002761443723360793,0.04434849286704335,True
2020-07-29,F,20580.0,0.3843,139485.0,0.0128,158284.94628085205,0.050092316417576783,2.593194022702671,0.002938038229559995,0.04020744644328897,True
2020-07-30,F,20031.2,0.3788,139485.0,0.0128,157737.04825634643,0.04821290831844853,2.631760973806897,0.0026192275434313776,0.03644862376904655,True
2020-07-31,F,19678.4,0.3839,139485.0,0.0128,157383.50212751675,0.048124275716479405,2.5958844229363174,0.0029743415536017926,0.03310119491892253,True
2020-08-03,F,19913.6,0.3813,139485.0,0.0127,157632.85773842846,0.048285085979162076,2.614070042923363,0.002785724106427657,0.030069647325335964,True
2020-08-04,F,20423.2,0.3868,139485.0,0.0127,158141.51007330732,0.050087423934912834,2.5759651384110347,0.00312095957743168,0.027374778140651507,True
2020-08-05,F,20697.6,0.3813,139485.0,0.0127,158416.78779471692,0.04993484217130222,2.6141335286991367,0.002733609790870411,0.024910660968356754,True
2020-08-06,F,20619.2,0.366,139485.0,0.0126,158354.17661400794,0.04773349908628649,2.7258192458335975,0.0018769809474732666,0.022607292682488064,True
2020-08-07,F,20423.2,0.3678,139485.0,0.0126,158157.9856217385,0.047575394721760436,2.7122215387078525,0.001976671739083159,0.020544230359390896,True
2020-08-10,F,21089.6,0.3695,139485.0,0.0126,158824.15241041576,0.049149655875174156,2.69952512727697,0.0020296009383700612,0.018692767232524107,True
2020-08-11,F,21520.8,0.3703,139485.0,0.0125,159269.00780706768,0.05012333509674505,2.693592954436215,0.0020488096396471694,0.017028371323749528,True
2020-08-12,F,21128.8,0.3759,139485.0,0.0125,158876.29685336744,0.05009234947188109,2.652609404120534,0.0023783103054499984,0.015563365103498655,True
