date,firm_id,E,sigma_E,D,r,V,sigma_V,DD,PD,success
2020-01-24,TSLA,36144.0,0.8964,8873.0,0.0174,44806.89337967326,0.7263161811145321,0.9662534697401735,0.029356535251860796,True
2020-01-27,TSLA,35712.0,0.8964,8873.0,0.0174,44373.877636151235,0.7247267055429794,0.9666951431655703,0.02987232988338105,True
2020-01-28,TSLA,36278.4,0.8964,8873.0,0.0173,44942.46291974224,0.7267915426014825,0.966120601246438,0.02920266112733756,True
2020-01-29,TSLA,37180.8,0.8964,8873.0,0.0173,45846.90204008967,0.730000354452193,0.9652143705415931,0.028168730289854657,True
2020-01-30,TSLA,41011.2,0.8964,8873.0,0.0173,49685.01863260975,0.7423698793570811,0.9615707144260326,0.024267877192863888,True
2020-01-31,TSLA,41635.2,0.8964,8873.0,0.0172,50311.005981600814,0.7442008940857877,0.9610113696847149,0.02370300520459671,True
2020-02-03,TSLA,49920.0,0.8964,8873.0,0.0172,58608.04467109026,0.7650753612618608,0.9542817672415539,0.017537553440536657,True
2020-02-04,TSLA,56774.4,0.8964,8873.0,0.0172,65469.65691846946,0.7784729334805836,0.9496337558009444,0.013897829023207246,True
2020-02-05,TSLA,47020.8,0.8964,8873.0,0.0171,55705.94025658885,0.7584407662847656,0.9564898533997251,0.019437968062492084,True
2020-02-06,TSLA,47932.8,0.8964,8873.0,0.0171,56619.17859702987,0.7605949666055829,0.9557798517845066,0.0188143841864004,True
2020-02-07,TSLA,47875.2,0.8964,8873.0,0.0171,56561.50188643683,0.7604608954323071,0.9558242361588445,0.01885301490229398,True
2020-02-10,TSLA,49363.2,0.8964,8873.0,0.017,58052.2840450278,0.7638310305982822,0.954700707588776,0.017889368234841118,True
2020-02-11,TSLA,49564.8,0.8964,8873.0,0.017,58254.13447897374,0.7642763067642342,0.9545510457665976,0.01776322200804612,True
2020-02-12,TSLA,49104.0,0.8964,8873.0,0.017,57792.758738839395,0.7632541251368496,0.9548941904139997,0.018053218060284995,True
2020-02-13,TSLA,51456.0,0.8964,8873.0,0.0169,60148.44155522636,0.7683022572856012,0.953185109893049,0.0166355912876882,True
2020-02-14,TSLA,51206.4,0.988,8873.0,0.0169,59858.82764250182,0.8481751322009572,0.8323958889711105,0.03240810510096172,True
2020-02-18,TSLA,54940.8,0.9985,8873.0,0.0168,63595.87212161052,0.8653658584021514,0.8172503822239247,0.03125308985126266,True
2020-02-19,TSLA,58713.6,1.0067,8873.0,0.0168,67371.34624315331,0.8798503021027895,0.8052104550298916,0.02983629012168294,True
2020-02-20,TSLA,57561.6,1.0144,8873.0,0.0168,66212.95441689393,0.8846325719657145,0.7968738167843636,0.03225420238019963,True
2020-02-21,TSLA,57667.2,1.0134,8873.0,0.0167,66320.1789213942,0.8839234450857273,0.7979791415584275,0.031972749028998014,True
2020-02-24,TSLA,53366.4,1.0444,8873.0,0.0167,61989.8150045386,0.9030525980842157,0.7653710509669948,0.04275098732973057,True
2020-02-25,TSLA,51196.8,1.0567,8873.0,0.0167,59804.809615107086,0.9092059364481248,0.7532530806920656,0.0482183422077234,True
2020-02-26,TSLA,49843.2,1.0378,8873.0,0.0166,58462.44418677857,0.8891406606322446,0.7751010420446097,0.045081183833439696,True
2020-02-27,TSLA,43459.2,1.1172,8873.0,0.0166,51978.7733802856,0.9425970452797979,0.6954886496582503,0.07754317654364073,True
2020-02-28,TSLA,42748.8,1.1116,8873.0,0.0166,51271.10006641339,0.9353586564123443,0.7016439403876198,0.07701985472045159,True
2020-03-02,TSLA,47587.2,1.1483,8873.0,0.0165,56092.326245599994,0.982582791258073,0.662196670536641,0.08043171600801635,True
2020-03-03,TSLA,47712.0,1.1472,8873.0,0.0165,56219.06177468028,0.9819229498158217,0.6631658166739088,0.07985103826682799,True
2020-03-04,TSLA,47971.2,1.1348,8873.0,0.0164,56494.713722518936,0.9713746440042835,0.6749653999788513,0.07537590561645816,True
2020-03-05,TSLA,46368.0,1.1393,8873.0,0.0164,54878.43719365157,0.9710518556032252,0.671677487408199,0.07959669165401118,True
2020-03-06,TSLA,45024.0,1.145,8873.0,0.0164,53520.516134292826,0.9723251907831558,0.6671019814303019,0.08396203964895027,True
2020-03-09,TSLA,38908.8,1.2188,8873.0,0.0163,47257.54691869265,1.018882162547963,0.6036763654636412,0.12545141486709677,True
2020-03-10,TSLA,41299.2,1.2282,8873.0,0.0163,49651.94280398871,1.0361477738250033,0.593892661950853,0.12310457310840045,True
2020-03-11,TSLA,40588.8,1.2301,8873.0,0.0163,48932.60164774116,1.0353989775939523,0.5927285325833923,0.125670300952352,True
2020-03-12,TSLA,35875.2,1.2789,8873.0,0.0162,44084.974239746356,1.0618623399730807,0.5549841654846932,0.16010247837911523,True
2020-03-13,TSLA,34982.4,1.2444,8873.0,0.0162,43249.84427371676,1.0261353547803895,0.58426662785471,0.14769814582056856,True
2020-03-16,TSLA,28483.2,1.3515,8873.0,0.0162,36428.854142632015,1.091458129099177,0.5023071439839072,0.22269748811936935,True
2020-03-17,TSLA,27532.8,1.2001,8873.0,0.0161,35802.50080549656,0.9463180995426563,0.6282312639737698,0.15434048714407572,True
2020-03-18,TSLA,23116.8,1.178,8873.0,0.0161,31373.586985884318,0.8950930924640815,0.6512125332273296,0.16319412308526277,True
2020-03-19,TSLA,27369.6,1.2463,8873.0,0.0161,35544.252989080625,0.9870012342743116,0.5874472450842938,0.17648243974805178,True
2020-03-20,TSLA,27360.0,1.2429,8873.0,0.016,35542.4810003511,0.983829518705813,0.5903809812407729,0.17492694032381823,True
2020-03-23,TSLA,27792.0,1.2456,8873.0,0.016,35974.55806582133,0.9890383148261895,0.5878151845185442,0.1743866343574509,True
2020-03-24,TSLA,32323.2,1.3426,8873.0,0.016,40350.528142982024,1.1045678852774514,0.5071369851856121,0.20230715174211678,True
2020-03-25,TSLA,34512.0,1.3612,8873.0,0.0159,42526.14843008942,1.1327395408542849,0.4920789703148748,0.2029493644072602,True
2020-03-26,TSLA,33801.6,1.3617,8873.0,0.0159,41804.70991453209,1.1298700825658268,0.49209222150649296,0.2058308189024196,True
2020-03-27,TSLA,32918.4,1.3518,8873.0,0.0159,40932.915081623534,1.116214522249867,0.49990814095822256,0.2044373866893615,True
2020-03-30,TSLA,32140.799999999996,1.3522,8873.0,0.0158,40143.98192323018,1.1126412168207724,0.5000217929019474,0.2076720623846347,True
2020-03-31,TSLA,33532.8,1.3387,8873.0,0.0158,41587.5081799979,1.1068733056906515,0.5094317632762053,0.19586921901429966,True
2020-04-01,TSLA,30816.0,1.3298,8873.0,0.0158,38853.701320813794,1.084553962850608,0.5177031206758707,0.20215510996390768,True
2020-04-02,TSLA,29088.0,1.3344,8873.0,0.0157,37089.55850336182,1.0789734400865458,0.5150353883389216,0.21165356900521498,True
2020-04-03,TSLA,30720.0,1.351,8873.0,0.0157,38705.81953075852,1.1039257174446302,0.5016463777268544,0.21285121818010316,True
2020-04-06,TSLA,33043.2,1.3656,8873.0,0.0157,41027.52708057506,1.1298412073942923,0.48962637231510325,0.21063016033592008,True
2020-04-07,TSLA,34905.6,1.377,8873.0,0.0156,42889.212439185205,1.1494783905633377,0.48034839689063935,0.20910021225167685,True
2020-04-08,TSLA,35126.4,1.3767,8873.0,0.0156,43113.816309037575,1.1501949473969286,0.48044842090026846,0.20814695211188328,True
2020-04-09,TSLA,36672.0,1.3359,8873.0,0.0156,44774.77328972382,1.1183797541703895,0.5097718787960922,0.18351258141465004,True
2020-04-13,TSLA,41664.0,1.3936,8873.0,0.0155,49695.48954552544,1.1921893376806096,0.4649323300961376,0.19432615021059352,True
2020-04-14,TSLA,45436.8,1.3795,8873.0,0.0154,53542.86720439447,1.1910226746394228,0.47291532309744705,0.17706701509954403,True
2020-04-15,TSLA,46713.6,1.3815,8873.0,0.0154,54828.335566540736,1.1967335543234456,0.4708321833854922,0.17455787990860655,True
2020-04-16,TSLA,47692.8,1.3825,8873.0,0.0154,55815.10682083974,1.200497500839207,0.4696224793636378,0.17246463346826896,True
2020-04-17,TSLA,48249.6,1.3782,8873.0,0.0153,56387.31308483527,1.197946483360205,0.47238949257633567,0.16916598367878427,True
2020-04-20,TSLA,47769.6,1.3752,8873.0,0.0153,55909.08459029961,1.1937491384967425,0.47477087372763144,0.16905593388167323,True
2020-04-21,TSLA,43948.8,1.3343,8873.0,0.0153,52136.574878975785,1.1435471777120174,0.5068000063031688,0.16104603484325236,True
2020-04-22,TSLA,46857.6,1.336,8873.0,0.0152,55070.065825666905,1.153985324584103,0.5039122807481834,0.1542987848867674,True
2020-04-23,TSLA,45158.4,1.3402,8873.0,0.0152,53346.58344593031,1.1528861401265402,0.5017053954108012,0.16043788037276774,True
2020-04-24,TSLA,46406.4,1.2891,8873.0,0.0152,54703.90141108597,1.1086438518344155,0.5403405187010034,0.13565265187865017,True
2020-04-27,TSLA,51120.0,1.3097,8873.0,0.0151,59418.250268107884,1.140712010145512,0.5216003566070412,0.1335210111798545,True
2020-04-28,TSLA,49219.2,1.1746,8873.0,0.0151,57711.950583085854,1.0106658005852962,0.6365207389773362,0.0865518308060998,True
2020-04-29,TSLA,51235.2,1.1643,8873.0,0.0151,59750.79449237117,1.0063187555239754,0.6448102633498941,0.07970775381560674,True
2020-04-30,TSLA,50044.8,1.0371,8873.0,0.015,58678.717354140856,0.8888089881754739,0.7758039552357643,0.044767072991328045,True
2020-05-01,TSLA,44880.0,0.995,8873.0,0.015,53528.8220567004,0.8383669397130377,0.8286586823053876,0.040718491024049994,True
2020-05-04,TSLA,48720.0,1.0118,8873.0,0.015,57368.06137866991,0.8631668371202794,0.8057883524456874,0.04021891134268979,True
2020-05-05,TSLA,49161.6,1.0123,8873.0,0.0149,57811.34682250553,0.8646738843647467,0.804889513447065,0.03985380430407029,True
2020-05-06,TSLA,50083.2,0.9189,8873.0,0.0149,58783.29297560262,0.7847800908521404,0.9226546856123341,0.0208756534264762,True
2020-05-07,TSLA,49920.0,0.9073,8873.0,0.0149,58624.16303987877,0.7743096561660964,0.9388956505923705,0.019199865948164616,True
2020-05-08,TSLA,52444.8,0.9072,8873.0,0.0148,61153.03267906075,0.779539502947523,0.9372427499861002,0.017623616127898416,True
2020-05-11,TSLA,51926.4,0.9018,8873.0,0.0148,60635.80016864866,0.7737616144461565,0.9452276704765136,0.01717023696812169,True
2020-05-12,TSLA,51801.6,0.8955,8873.0,0.0148,60512.8655002361,0.7680053513270545,0.954309273159923,0.016378617164970875,True
2020-05-13,TSLA,50620.8,0.8994,8873.0,0.0147,59330.299450200255,0.768925751737215,0.949573460748846,0.017611999373902922,True
2020-05-14,TSLA,51417.6,0.8518,8873.0,0.0147,60141.05074432817,0.7292018442460213,1.0200908464554472,0.011306617162200307,True
