date,firm_id,equity_vol
2020-01-03,JPM,0.5453
2020-01-06,JPM,0.5453
2020-01-07,JPM,0.5453
2020-01-08,JPM,0.5453
2020-01-09,JPM,0.5453
2020-01-10,JPM,0.5453
2020-01-13,JPM,0.5453
2020-01-14,JPM,0.5453
2020-01-15,JPM,0.5453
2020-01-16,JPM,0.5453
2020-01-17,JPM,0.5453
2020-01-21,JPM,0.5453
2020-01-22,JPM,0.5453
2020-01-23,JPM,0.5453
2020-01-24,JPM,0.5453
2020-01-27,JPM,0.5453
2020-01-28,JPM,0.5453
2020-01-29,JPM,0.5453
2020-01-30,JPM,0.5453
2020-01-31,JPM,0.5453
2020-02-03,JPM,0.5453
2020-02-04,JPM,0.5453
2020-02-05,JPM,0.5453
2020-02-06,JPM,0.5453
2020-02-07,JPM,0.5453
2020-02-10,JPM,0.5453
2020-02-11,JPM,0.5453
2020-02-12,JPM,0.5453
2020-02-13,JPM,0.5453
2020-02-14,JPM,0.1784
2020-02-18,JPM,0.1784
2020-02-19,JPM,0.1831
2020-02-20,JPM,0.176
2020-02-21,JPM,0.1783
2020-02-24,JPM,0.1938
2020-02-25,JPM,0.23
2020-02-26,JPM,0.2284
2020-02-27,JPM,0.2507
2020-02-28,JPM,0.2736
2020-03-02,JPM,0.3114
2020-03-03,JPM,0.3244
2020-03-04,JPM,0.3355
2020-03-05,JPM,0.3596
2020-03-06,JPM,0.383
2020-03-09,JPM,0.5318
2020-03-10,JPM,0.591
2020-03-11,JPM,0.5958
2020-03-12,JPM,0.6304
2020-03-13,JPM,0.8416
2020-03-16,JPM,0.9361
2020-03-17,JPM,0.9582
2020-03-18,JPM,0.994
2020-03-19,JPM,0.9939
2020-03-20,JPM,0.9932
2020-03-23,JPM,0.9989
2020-03-24,JPM,1.072
2020-03-25,JPM,1.081
2020-03-26,JPM,1.1059
2020-03-27,JPM,1.1202
2020-03-30,JPM,1.1252
2020-03-31,JPM,1.1278
2020-04-01,JPM,1.135
2020-04-02,JPM,1.1441
2020-04-03,JPM,1.1451
2020-04-06,JPM,1.1659
2020-04-07,JPM,1.163
2020-04-08,JPM,1.1711
2020-04-09,JPM,1.1987
2020-04-13,JPM,1.1991
2020-04-14,JPM,1.1919
2020-04-15,JPM,1.1952
2020-04-16,JPM,1.1954
